Cross The Globe (feat. Juice WRLD) | ['Lil Durk', 'Juice WRLD'] | spotify:track:52WWw9qNZXZZtWU336TtKG
Idan nation | ['Mclion', 'Boy Muller'] | spotify:track:5p05B2t0pb9Ds7GXlh9TY7
Pain Talk (feat. Lil Tjay) | ['Sleepy Hallow', 'Lil Tjay'] | spotify:track:7soBkLenwWM7kB92cuyl04
Reminder (feat. A$AP Rocky & Young Thug) - Remix | ['The Weeknd', 'A$AP Rocky', 'Young Thug'] | spotify:track:2rlEZYWZFE84YTbrwypBr0
Wish I Could Forget (with blackbear & Bring Me The Horizon) | ['SLANDER', 'blackbear', 'Bring Me The Horizon'] | spotify:track:4QcfHUpGxGGKh7VIVs3LYI
Lucid Dreams (feat. Lil Uzi Vert) - Remix | ['Juice WRLD', 'Lil Uzi Vert'] | spotify:track:7aqsZaSCQRuSrgCudm7sZE
Glo’d Up | ['Juice WRLD'] | spotify:track:1KGJ5ozUB7XOgCJ73IBMz3
No Good | ['Juice WRLD'] | spotify:track:2zs3ErwfEyzI4K2H9vEnTD
For Y'all (feat. Jacquees) | ['Young Thug', 'Jacquees'] | spotify:track:5e5LyZy3k83xTQKnerVrif
Hips Don't Lie (feat. Wyclef Jean) | ['Shakira', 'Wyclef Jean'] | spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V
Solo (feat. Demi Lovato) | ['Clean Bandit', 'Demi Lovato'] | spotify:track:6kPJZM97LwdG9QIsT7khp6
Ring Ring (feat. Travis Scott, Don Toliver, Quavo & Ty Dolla $ign) | ['CHASE B', 'Travis Scott', 'Don Toliver', 'Quavo', 'Ty Dolla $ign'] | spotify:track:7pFzbZz89oXVsRxhUvO7q2
All My Life (feat. J. Cole) | ['Lil Durk', 'J. Cole'] | spotify:track:6HgWWaMu31KdOpEG5l28BG
To Be A Man | ['Dax'] | spotify:track:5uqXEAPYnytyz9WPoXr3UR
Hero | ['Alan Walker', 'Sasha Alex Sloan'] | spotify:track:1rBTBbtkJlSDk78gg8Dw9F
Just Wanna Rock | ['Lil Uzi Vert'] | spotify:track:7ej4Q1Td6Fln5ottHyFbWm
Cupid | ['FIFTY FIFTY'] | spotify:track:5mg3VB3Qh7jcR5kAAC4DSV
Astalavista | ['Zlatan', 'Young Jonn'] | spotify:track:3kKZsfJfTLHQOraQWL1KYE
Miss You (When You’re Gone) | ['Connor Price', 'Chloe Sagum'] | spotify:track:39kmuuycrDDcuj2DVO0HLd
Smooth | ['Just Juice'] | spotify:track:2fyLa60VHi5qgHWqpllTL8
SIDELINES | ['Just Juice', '24kGoldn'] | spotify:track:1bN3TjX1Bi9oti01BMXDuc
World Fall Down | ['Just Juice', 'Lil Tjay'] | spotify:track:1rK3tpjTWNcxBPhBtPva0T
Swallowa | ['Just Juice', 'Lil Tjay'] | spotify:track:0KOQu8KWbHvC8NvN0FzZ4f
HAPPY | ['NF'] | spotify:track:3ZEno9fORwMA1HPecdLi0R
Eenie Meenie | ['Sean Kingston', 'Justin Bieber'] | spotify:track:4vVTI94F9uJ8lHNDWKv0i2
GWAGWALADA | ['Bnxn', 'Kizz Daniel', 'Seyi Vibez'] | spotify:track:6wuMo4ZR83PhlhXhJ1S3VY
Alone (with Nicki Minaj) | ['Kim Petras', 'Nicki Minaj'] | spotify:track:7kOletJ0Q5H4MWe7cfeZXP
Barbarian | ['Lil Durk'] | spotify:track:6DPEzXUB3ZVzT2NDh7MkJt
Started From | ['Lil Durk'] | spotify:track:03cBu30KbreokkrclGPQf8
Broadway Girls (feat. Morgan Wallen) | ['Lil Durk', 'Morgan Wallen'] | spotify:track:7qTaDOcld0VmBWXnkbUj45
Aquafina | ['Young Jonn'] | spotify:track:59sAr7NvZDeH7oYrkiyZcQ
Slow (with Ciara) | ['Jackson Wang', 'Ciara'] | spotify:track:3ZrtBTReHr1xFDglmHwCX5
Sweeter Scars | ['Just Juice', 'Logic', 'Trippie Redd'] | spotify:track:5gqsRd3x46C7dkVDNPIQ6H
Powerglide (feat. Juicy J) - From SR3MM | ['Rae Sremmurd', 'Swae Lee', 'Slim Jxmmi', 'Juicy J'] | spotify:track:1BuZAIO8WZpavWVbbq3Lci
Marry Me (feat. Toya Wright) | ['Rasheeda', 'Toya Wright'] | spotify:track:0xbZ86ejZysyNM2V5BY0EI
Double Fantasy (with Future) | ['The Weeknd', 'Future'] | spotify:track:4VMRsbfZzd3SfQtaJ1Wpwi
Chemical | ['Post Malone'] | spotify:track:5w40ZYhbBMAlHYNDaVJIUu
Princess Diana (with Nicki Minaj) | ['Ice Spice', 'Nicki Minaj'] | spotify:track:0ZxhtATQ0a6EvQNZ0z6NKV
Gangsta Boo (with Lil Tjay) | ['Ice Spice', 'Lil Tjay'] | spotify:track:6Ntj4LvgVgjlprxD2JyhZS
Watch This - ARIZONATEARS Pluggnb Remix | ['Lil Uzi Vert', 'sped up nightcore', 'ARIZONATEARS'] | spotify:track:0FA4wrjDJvJTTU8AepZTup
Kill Bill (feat. Doja Cat) | ['SZA', 'Doja Cat'] | spotify:track:0CrcwVLUe8wzLUIXgjXVZJ
Just for Me | ['PinkPantheress'] | spotify:track:6OTKVgVpVaVjhRLYizPJKA
Boy's a Liar | ['PinkPantheress'] | spotify:track:3NanY0K4okhIQzL33U5Ad8
